,Sentence,Entity1,Entity2,relation
17,"A6 NATIONAL A14-26 Court Nominee Under Fire ; White House Defends Pick Amid uproar among conservatives over the candidacy of Harriet E. Miers for the Supreme Court , one of the most ardent abortion opponents in the Senate , Sam Brownback , Republican of Kansas , said Ms. Miers had not persuaded him to confirm her .",White House,Pick,Defends
18,"A10 Abbas Wants Sharon 's Pledge The Palestinian president , Mahmoud Abbas , cast doubt on when he would meet with Prime Minister Ariel Sharon of Israel , despite reports from both sides that they would meet next Tuesday .",A10 Abbas,Sharon,Wants
19,"CHASING AMY (1997) -- Before Ben Affleck met Will Hunting and unlikely tabloid acclaim , he starred in this Kevin Smith movie as a Red Bank comic book illustrator who coaxes a lesbian -LRB- Joey Lauren Adams -RRB- into heterosexuality because , well , he 's Ben Affleck .",Ben Affleck,Will,met
20,"The companies also agreed on a 47 percent increase , to $ 1.60 per 1,000 cubic meters , in the price Ukraine charges Russia for shipping gas across its territory to Europe .",price Ukraine,Russia,charges
21,"Secretary General Kofi Annan said Wednesday that he took personal responsibility for the management failures highlighted in a damning new report on the oil-for-food program , and he urged adoption of fundamental changes in the way the United Nations is run .",Kofi Annan,Wednesday,said
22,"BUSINESS DAY , PAGE C1 Israel May Hasten Gaza Exit Israel may advance its planned mid-August withdrawal of nearly 9,000 settlers from the Gaza Strip to avoid further mass protests and attempts by settler supporters to slip into Gaza despite its status as a closed military zone , Vice Prime Minister Ehud Olmert said .",PAGE,Israel,C1
23,"Florida State visits the Orange Bowl on Sept. 4 to face Miami , but the Seminoles play Clemson , Boston College and Florida at home .",Seminoles,Clemson,play
24,"Just two weeks ago -- a day after the United States offered to hold direct talks with Iran over its nuclear program -- North Korea invited Christopher R. Hill , an assistant secretary of state and chief negotiator on the North 's nuclear weapons program , for direct talks in Pyongyang .",North Korea,Christopher,invited
25,"But what is unusual is that he and his running mates are all from the vast , impoverished Shiite neighborhood in Baghdad called Sadr City , and all are acolytes of Moktada al-Sadr , the young cleric whose stern visage glares down from nearly every wall .",Baghdad,Sadr,called
26,"The game , a rematch of the N.F.C. championship game in January , which Philadelphia won , ended with Hall shadowing Owens stride for stride down the sideline on a fourth-and-10 pass from quarterback Donovan McNabb with 1 minute 32 seconds to play .",Hall,Owens,shadowing
27,"In Broome County , a largely rural patch of upstate New York , registered Republicans outnumber Democrats , particularly in the rolling hills around Binghamton .",Republicans,Democrats,outnumber
28,"Secretary of State Condoleezza Rice urged Israel on Tuesday to allow Palestinians to carry out their legislative elections in January without Israeli interference , implicitly criticizing Ariel Sharon , the Israeli prime minister .",Condoleezza Rice,Israel,urged
29,"Just two weeks ago , Mr. Icahn accused Mr. Parsons of being in love with conglomerates and Time Warner 's gleaming new headquarters overlooking Columbus Circle in Manhattan .",Mr. Icahn,Mr.,accused
30,Consider that New York has just gotten past John Eliot Gardiner and his Orchestre Revolutionnaire et Romantique playing Mozart 's last three symphonies at Alice Tully Hall and looks ahead to Daniel Barenboim and the Berlin Staatskapelle playing Mozart 's last three symphonies over two concerts at Carnegie Hall on Saturday and Sunday .,et,Mozart,Romantique
31,"As a child , Lofa Tatupu played Pop Warner football in Massachusetts against Nathaniel Hasselbeck , one of Matt 's brothers .",Lofa Tatupu,Pop,played
32,"The little guy 's success has helped make the tournament the spectacle that it is , from Coach Don Haskins leading his Texas Western squad over Kentucky in the 1966 championship to Larry Bird leading Indiana State to the 1979 title game .",Larry Bird,Indiana,leading
33,"Mr. Kennedy visited Ireland from June 26 to 29 and went to Dublin , Wexford , Cork and Galway .",Mr. Kennedy,Ireland,visited
34,"In the three years since Ishii left Japan and joined the major leagues , he has gone 36-27 while issuing 318 walks .",Ishii,Japan,left
35,"At a meeting on March 16 , President Jacques Chirac of France asked Mr. Jeanneney and the culture minister , Renaud Donnedieu de Vabres , to study how French and European library collections could be rapidly made available on the Web .",France,Mr.,asked
36,"A8 Vermont Student Found Dead A University of Vermont student who had been missing since last weekend was found dead near a gorge about 15 miles from campus , and the police identified as a suspect a man she had borrowed a cellphone from in downtown Burlington .",Vermont Student,Dead,Found
37,"After all the miscalculations and billions wasted , projects screwed up , lives and limbs lost , foreign enemies made , American stature squandered , Taliban strength regained , North Korean bombs and Iran-Iraq alliances built -LRB- visiting the American-hating , Holocaust-denying Iranian president Mahmoud Ahmadinejad yesterday , Prime Minister Nuri Kamal al-Maliki of Iraq called Iran '' a good friend and brother '' -RRB- Dick Cheney would n't do anything differently ?",Iraq,Iran,called
38,"Mr. Abbas met Wednesday with the United Nations secretary general , Kofi Annan .",Mr. Abbas,Wednesday,met
39,"Raised in a working-class row house neighborhood in southwest Baltimore called Yale Heights -- a far cry from the university where he would earn undergraduate and law degrees -- Mr. Bolton won a scholarship to McDonogh , then an all-male military school .",Baltimore,Yale,called
40,"When President Bush informed Pakistan after the Sept. 11 attacks five years ago that it faced a stark choice -- to be with us or against us -- neither he nor his counterpart , President Pervez Musharraf , could have imagined it would come to this .",President Bush,Pakistan,informed
41,"As Blake extended Barker 's sweet misery , the second-seeded Roddick -- safely on the opposite side of the draw from his now traditional nemeses Federer and Lleyton Hewitt -- continued his convincing early work , defeating Wesley Moodie of South Africa , 7-5 , 6-3 , 6-2 .",Blake,Barker,Blake
42,"-LRB- Sisario -RRB- \* THE HOLD STEADY -LRB- Sunday -RRB- Like a meeting of AC\/DC and the E Street Band fronted by Shane MacGowan of the Pogues , the Hold Steady -- from Brooklyn , but with Minneapolis origins -- plays bare-knuckled guitar-rock , while its singer , Craig Finn , free-associates about religion and sex in a boozy snarl . ''",Street Band,Shane,fronted
43,"Before Juliette , Ms. Dessay sang Ophelie in Ambroise Thomas 's opera '' Hamlet , '' originally produced in Paris in 1868 , the year after Gounod 's '' Romeo . ''",Ms. Dessay,Ophelie,sang
44,"For the first time , Dr. Ahmed described Mr. Herbert 's condition over the last couple of years as having been close to a '' persistent vegetative state , '' a term that neurologists used to describe Terri Schiavo before she died last month in Florida .",Dr. Ahmed,Mr.,described
45,"-------------------- U.S. Plans Talks With China By The New York Times WASHINGTON , April 8 -- The Bush administration , seeking to ease recent tensions with China over its military actions , has agreed with the Beijing government to set up a series of regular high-level talks on human rights , political and military issues , the State Department said Friday .",State Department,Friday,said
46,"A16 NEW YORK\/REGION B1-6 Race May Pit a Kennedy Against Brother-in-Law Robert F. Kennedy Jr. , an environmental lawyer and the son of the late Senator Robert F. Kennedy , is considering running for New York State Attorney General , joining a race that could pit him against Andrew Cuomo , who is in the process of divorcing Mr. Kennedy 's sister .",Race,Pit,May
47,"Indeed , it was not a slash-and-burn moment : Mr. Clinton seemed to be in an exuberant mood at the prospect of a Democratic takeover in New York led by Mr. Cuomo , a former housing secretary of his , as well as the party 's candidate for governor , Eliot Spitzer , and Mrs. Clinton , who is up for re-election next week .",New York,Mr.,led
48,"Europe intends to remove the last obstacles to its relations with this important country , '' President Jacques Chirac of France said Tuesday , after Mr. Bush expressed '' deep concern '' about such a move .",France,Tuesday,said
49,"INTERNATIONAL A3-13 Bush Making Push at Home And Abroad for Iraq Efforts Seeking political momentum from his surprise trip to Baghdad , President Bush warned Democrats that an early withdrawal of troops would set back counterterrorism efforts , and promised to send American diplomats to press countries to make good on $ 13 billion in pledges toward rebuilding Iraq .",Bush,Push,Making
50,"Last season , Ainge led Tennessee on a fourth-quarter drive to beat the Gators in Knoxville .",Ainge,Tennessee,led
51,"A19 NEW YORK\/REGION B1-8 New York Wants DNA For Crimes Big and Small A push to require all convicted criminals in New York State to submit their DNA to a central database is gaining crucial support in Albany , where officials say it could create the most comprehensive DNA collection system in the nation .",New York,DNA,Wants
52,"As part of Sobe News , one of his companies , Mr. Binn launched Ocean Drive in Miami in 1992 and in April will start a new high-end interior design magazine to be distributed nationally , called Florida InsideOut .",Mr. Binn,Ocean,launched
53,"His exercise of that doctrine in Iraq divided Americans from the start , and even more so after it turned out that he was wrong in asserting that Saddam Hussein held stockpiles of banned weapons .",Iraq,Americans,divided
54,"Secretary of State Condoleezza Rice called Afghanistan 's President , Hamid Karzai , to urge a '' favorable resolution , '' her spokesman said .",Condoleezza Rice,Afghanistan,called
55,"You won the battle of Paris , '' Mr. Ducros told Patrick Scicard , the president of Lenotre , at a news conference in the tearoom of Fauchon 's flagship Place de la Madeleine shop . ''",Mr. Ducros,Patrick,told
56,"Israel captured East Jerusalem in the Arab-Israeli war of 1967 and considers all of the city its capital , a position not recognized internationally .",Israel,East,captured
57,"Mr. Shalom praised General Musharraf for initiating the process through the Turks , who contacted Prime Minister Ariel Sharon of Israel .",Mr. Shalom,General,praised
58,"To the Sports Editor : As a teenager on a New Jersey farm in the 1930s , I remember when Rutgers played Lehigh , Lafayette and Bucknell -- and the last game against Princeton .",Rutgers,Lehigh,played
59,"THE ARTS , PAGE E1 Bush Ends European Trip With Praise for Georgia President Bush , right , with President Mikheil Saakashvili at Georgia 's Parliament in Tbilisi , told a cheering crowd that the United States would stand with the former Soviet republic as it built its democracy .",E1 Bush,European,Ends
60,"A1 Citigroup Chairman to Stay Sanford I. Weill told Citigroup employees that he planned to stay on as chairman until his retirement , after a debate over his plans to leave and to start a private equity fund .",I. Weill,Citigroup,told
61,"After Germany defeated Sweden , fans clashed near outdoor viewing screens in Stuttgart .",Germany,Sweden,defeated
62,"Iran injected Syria with a lot of confidence : stand up , show defiance , '' said Sami Moubayed , a political analyst and writer in Damascus . ''",Iran,Syria,injected
63,"President Hosni Mubarak of Egypt met Iran 's national security chief , Ali Larijani , in Cairo recently , and Saudi Arabia 's foreign minister , Prince Saud al-Faisal , visited Tehran this month and declared the two nations to be good friends .",Egypt,Iran,met
64,A7 Russia Accused in Beslan Siege The Chechen rebel leader and mastermind of the siege last year at a school in Beslan said Russia 's special services had helped make the assault possible by allowing the terrorists safe passage toward the school in an attempt to ambush them .,Beslan,Russia,said
65,"Armed with his stunning collection , a big dream and -LRB- not unimportant -RRB- an ego to match , three years ago Mr. Bilotti approached Walter Veltroni , the mayor of Rome , with the idea of creating an eponymous museum to house some of his art holdings .",Mr. Bilotti,Walter,approached
66,"Last winter , while coaching at a game in Syracuse , Mr. Jamison met Jennifer Hanslip , 36 , a deputy sheriff from Onondaga County whose daughter was a cheerleader for the opposing team .",Mr. Jamison,Jennifer,met
67,"Calgary Coach Darryl Sutter , whose brother Brent coached Phaneuf at Red Deer in the Western Hockey League and with Canada , which won the gold medal last year at the world junior championships , agreed . ''",brother Brent,Phaneuf,coached
68,"We stunk on D , '' San Antonio Coach Gregg Popovich said Tuesday night , only half seriously . ''",Gregg Popovich,Tuesday,said
69,"In 1973 she and her husband , Bertil Nilsson , had just landed in Perth , Australia , when a plane from Hawaii disgorged Miss N. In Fiji , a woman in native costume in the hotel restaurant turned out to be Miss N. On the flight home Miss N. was occupying Ms. Nilsson 's favorite seat : left aisle , first row .",Hawaii,Miss,disgorged
70,Long-time Minnesota philanthropist and Carlson Companies co-founder Arleen Martin Carlson died August 4 at her home in Minneapolis .,Martin Carlson,August,died
71,"Corner Kicks HALL OF FAME -- A group of former players , including the former national team and MetroStars player Tab Ramos , will learn today who has been elected to the National Soccer Hall of Fame in Oneonta , N.Y. LUCIEN LAURENT -- A left wing who scored the first goal in World Cup history -- when France beat Mexico , 4-1 , in Montevideo , Uruguay , on July 13 , 1930 -- Laurent died April 11 in Paris .",France,Mexico,beat
72,"When the Germans invaded Poland in 1939 , the family moved to Warsaw .",Germans,Poland,invaded
73,"In Paris , after an emergency cabinet meeting , Interior Minister Nicolas Sarkozy said France had increased its security alert to '' red '' -- one degree below maximum level .",Nicolas Sarkozy,France,said
74,"So when the political scientist Peter D. Feaver and his colleague found that in 1999 , support for casualties in a war against Iraq was high among the population , it was because Americans were convinced by the Clinton administration that if Saddam Hussein obtained W.M.D. 's , this would be a major threat to them .",Saddam Hussein,W.M.D.,obtained
75,"Friends around the globe have sent samples from places as diverse as Waterloo , site of Napoleon 's 1815 defeat , and Gaugamela , east of modern-day Mosul in northern Iraq , where Alexander the Great defeated Darius III of Persia in 331 B.C. The dirt goes into 65 iron cannonball-size boulders that Mr. Joyce has forged as time capsules of human conflict .",Great,Darius,Great
76,"It 's a short drive from there to Kealakekua Bay , where native Hawaiians brought Captain James Cook 's celebrated career to a sudden halt . ''",Hawaiians,Captain,brought
77,Israel captured East Jerusalem in the Arab-Israeli war of 1967 and regards it as part of its capital .,Israel,East,captured
78,"Ms. Rice leaves Thursday for an eight-day of trip , most of it in Europe but with a concentration in Europe on the Middle East -- which includes , with the Arab-Israeli dispute , Iraq , Iran , Syria and the so-called '' broader Middle East '' initiative for democracy in the Arab and Muslim world .",Ms. Rice,Thursday,leaves
79,"As in Hanif Kureishi 's prescient short story from the mid-90 's , '' My Son the Fanatic , '' Updike 's Ahmad sees Islam as an alternative to a sex-crazed culture .",Ahmad,Islam,sees
80,"B1 Moderate Republicans Meet Gov. Arnold Schwarzenegger of California and Mayor Michael R. Bloomberg -- two wealthy Republican businessmen with socially liberal views -- met in California to talk about the environment , but the talks quickly turned to national politics and withering criticism of what they described as the partisan gridlock of Washington .",Moderate Republicans,Gov.,Moderate
81,"For his partner up front , Podolski chose Ronaldo of Brazil rather than picking Klose . ''",Podolski,Ronaldo,chose
82,"At a meeting with Prime Minister Bertie Ahern of Ireland , Mr. Bush praised Mr. Ahern for '' tireless work in the struggle against terrorism on St. Patrick 's island . ''",Mr. Bush,Mr.,praised
83,"The Russian Embassy in Sarajevo said Wednesday in a statement that a former Bosnian Serb police commander who is suspected of war crimes may have hidden in Russia , but it denied that he had been under Moscow 's protection .",Sarajevo,Wednesday,said
84,She shares pizza with Warren Beatty on Mulholland Drive ; tastes premium bittersweet chocolate at the baronial estate of the Beverly Hills billionaires Lynda and Stuart Resnick ; cozies up to the cake with Meg Ryan at Carrie Fisher 's birthday party in Coldwater Canyon .,Beverly Hills,Lynda,billionaires
85,"Lt. Gen. Walter E. Buchanan III , the commander of American air forces in the Middle East , said in an interview at his headquarters here that there were really only two enduring bases for the United States in the region : Al Udeid in Qatar and Al Dhafra air base in the United Arab Emirates , from which the Air Force flies U-2 spy planes , the remotely piloted Global Hawk surveillance aircraft , and KC-135 refueling planes .",Air Force,U-2,flies
86,"SIEGEL -- Gonnie McClung died September 29th , age 77 , in Gainesville , Florida , from complications of Alzheimer 's disease .",Gonnie McClung,September,died
87,"Documents submitted to a United States court by Changhong show Mr. Ji was kept at the Jinjiang Hotel , a government-run hotel in Chengdu , Sichuan 's capital , which often houses official guests .",Changhong,Mr.,show
88,"And Assemblyman William L. Parment , a Democrat representing Chautauqua County in western New York , called for Mr. Hevesi 's resignation as well . ''",Democrat,Chautauqua,representing
89,"It seems inevitable that he 's coming back , '' center fielder Randy Winn said Wednesday in Los Angeles as the Giants completed a three-game series with the Dodgers . ''",Randy Winn,Wednesday,said
90,"BUSINESS DAY , PAGE C1 Main Breaks in New Jersey A major water main in Bound Brook , N.J. , ruptured , cutting pressure to more than 350,000 residents of north-central New Jersey and sending torrents gushing into the flood-swollen Raritan River .",PAGE,Main,Main
91,"I had this arrogant attitude initially here in New Hampshire that , hey , you should just be able to take these details and go out and find the bodies , '' said Jeffery A. Strelzin , chief of homicide for the New Hampshire attorney general 's office , who traveled to the region in 2003 to investigate a report by a couple who saw a van matching Mr. Gehring 's in Maumee , Ohio , on July 5 . ''",van,Mr.,matching
92,A11 California Governor Ends Fight Gov. Arnold Schwarzenegger has given up a yearlong legal battle with the state 's nurses union over a state law that requires more nurses in hospitals .,California Governor,Fight,Ends
93,INSIDE PITCH Atlanta pitchers Tim Hudson and Mike Hampton will have bullpen sessions before today 's game .,PITCH Atlanta,Tim,pitchers
94,"Bombing Suspect Lost 3 Brothers , Jordan Says Investigators in Jordan said the Iraqi woman detained in connection with the terrorist attacks in Amman volunteered to be a suicide bomber because three of her brothers had been killed during '' operations '' in Iraq .",Jordan,Investigators,Says
95,"PAGE A3 Wipe Out Israel , Iranian Says Iran 's new president , Mahmoud Ahmadinejad , told an audience in Tehran that Israel '' must be wiped off the map . ''",Iranian,Iran,Says
96,"In 2004 , on the '' hard test , '' the second passage was about the Netherlands thanking Canada for its support during World War II by sending 100,000 tulip bulbs to Ottawa .",Netherlands,Canada,Netherlands
97,"To stress their sensitivity to the tribes , the Snowbowl hired Bruce Babbitt , a former Arizona governor and interior secretary under President Bill Clinton , as a consultant .",Snowbowl,Bruce,hired
98,"Correction : January 26 , 2006 , Thursday An article on Tuesday about a Turkish court 's decision to drop charges against the novelist Orhan Pamuk misidentified Vecdi Sayar , who noted that there were still charges pending against numerous other intellectuals in Turkey .",Orhan Pamuk,Vecdi,misidentified
99,"Those working in the solicitor general 's office are not working for the president , '' Mr. Leahy told George Stephanopoulos on the ABC News program '' This Week . '' ''",Mr. Leahy,George,told
100,"And , writ small , the settler 's departure offers an insight into Mr. Sharon 's quandaries and calculations in the West Bank , where many Palestinians believe Israel is seeking to expropriate land by building its separation barrier even as it promises to give up territory in Gaza . ''",Palestinians,Israel,believe
101,"Israel seized East Jerusalem from Jordan in the 1967 Arab-Israeli war and later annexed it , promising that the city would never again be divided .",Israel,East,seized
102,"Opens today in Manhattan Directed by Karen Kramer Not rated , 70 minutes Some revealing historical facts are scattered through '' The Ballad of Greenwich Village , '' Karen Kramer 's documentary exalting that famous bohemian neighorhood of Manhattan .",Manhattan,Karen,Directed
103,"After Seattle beat the Carolina Panthers on Sunday , Hasselbeck left Qwest Field with his father .",Hasselbeck,Qwest,left
104,"To take one small point : On one of his London trips Joseph Brant met James Boswell , who wrote an article about him .",London,Joseph,trips
105,"The United Nations announced Friday that it planned to send Mr. Pronk back to Khartoum , but only to organize a transfer to Taye Zerihoun , the officer in charge of the United Nations mission in Sudan .",United Nations,Friday,announced
106,"After the body was found , detectives from the 10th Precinct and the Manhattan South Homicide Task Force questioned Mr. Glinton , who has been living in East New York , Brooklyn , and the police at the time said he was considered a suspect .",Task Force,Mr.,questioned
107,Turkey withdrew its objections after Secretary of State Condoleezza Rice called Mr. Erdogan in Ankara to assure him that the negotiations with Europe would not affect Turkey 's voting power in NATO .,Condoleezza Rice,Mr.,called
108,"DANA -- William Hibbard Died April 20 at his home in Duxbury , Massachusetts after a long illness .",William Hibbard,April,Died
109,"President Bush called Sudan 's president , Omar Hassan al-Bashir , on Tuesday , urging him to send a senior representative back to peace talks in Nigeria intended to end the carnage in Darfur , as international pressure mounted on Sudan and the Darfur rebels to reach an agreement .",President Bush,Sudan,called
110,"The Associated Press quoted Larry Sabato , director of the Center for Politics at the University of Virginia , saying of Barack Obama , the freshman senator from Illinois , '' He 's one of the Democratic Party 's few rock stars .",Associated Press,Larry,quoted
111,"Mohammed Sharkawa , the militant leader who leads Abu Musab al-Zarqawi 's operations in northern Iraq , was seized Tuesday afternoon in a home in western Mosul after aerial reconnaissance and a tip from a local resident helped pinpoint his whereabouts , American military officials in Mosul and Baghdad said Thursday .",Baghdad,Thursday,said
112,"Last year Mr. Riccitiello joined Elevation Partners , a new venture capital firm in Silicon Valley , whose other partners include Fred Anderson , the former chief financial officer of Apple Computer , and Bono , U2 's lead singer .",Mr. Riccitiello,Elevation,joined
113,"INTERNATIONAL A3-15 China 's President Vows To Ease Economic Conflicts President Hu Jintao of China told President Bush that he was willing to move more quickly to ease economic differences with the United States , but he gave no ground on increasing political freedoms .",China,President,told
114,"A16 G.O.P. Quarrel Becomes Public A once-private feud between the Bush administration and Senate Republicans -- namely John W. Warner of Virginia , John McCain of Arizona and Lindsey Graham of South Carolina -- who took issue with the president 's military policy in Iraq and in the war on terrorism has begun spilling into the open .",G.O.P. Quarrel,Public,Becomes
115,"President Mahmoud Ahmadinejad said Sunday that the sanctions would not prevent Iran from developing its nuclear program , ISNA news agency reported . ''",Mahmoud Ahmadinejad,Sunday,said
116,"Both won in straight sets on Wednesday , with Federer overcoming Takao Suzuki of Japan with telegenic shot-making that included the stroke of the tournament so far : a forehand passing shot on the full stretch whose trajectory took it well outside the net post before it landed on the line .",Federer,Takao,overcoming
117,"The Winter Olympics begin Feb. 10 in Turin , Italy . ''",Winter Olympics,Feb.,begin
118,The United Nations said Tuesday that it was weighing whether a special envoy for Secretary General Kofi Annan who has admitted associating with a lobbyist charged in connection with the Iraq oil-for-food program should step aside while investigations into his role continued .,United Nations,Tuesday,said
119,"Israel blamed Syria , which has allowed Islamic Jihad leaders to operate from Damascus for many years .",Israel,Syria,blamed
120,"Madrid Xanadu gave Europe its first taste of the Mills Corporation 's innovative blend of shopping and entertainment , with anchors ranging from a 350,000-square-foot branch of Spain 's largest retailer , El Corte Ingles , to a 17-story snow dome for indoor skiing .",Madrid Xanadu,Europe,gave
121,American and Chinese government negotiators hope to conclude a deal in Beijing limiting China 's soaring clothing exports to the United States before a Wednesday night deadline .,Beijing,China,limiting
122,"The former co-owner of the gun shop in Tacoma where Lee Malvo stole the Bushmaster rifle used in the sniper shootings in the Washington , D.C. , area was sentenced to three years ' probation for failing to file federal tax returns , the United States attorney 's office in Seattle said Thursday .",Seattle,Thursday,said
123,"There were some difficulties for voters in East Jerusalem , where Israel required Palestinians to vote in post offices , as if they were casting absentee ballots , given Israel 's claim to sovereignty over East Jerusalem .",Israel,Palestinians,required
124,"What is more , many Pakistanis believe India is backing the Baluch insurgency in Pakistan 's far south , clouding the prospects for the new , Chinese-built port in Gwadar .",Pakistanis,India,believe
125,"He had opposed the Taliban , living in uneasy exile in Iran until the U.S. persuaded Tehran to boot him out ; he sneaked into the mountainous eastern borderlands .",U.S.,Tehran,persuaded
126,"Most of this was done from the safety of Pakistan , and in 2003 Mullah Omar dispatched Mullah Dadullah to the madrasas of Baluchistan and Karachi to gather the dispersed Talibs and find fresh recruits .",Mullah Omar,Mullah,dispatched
127,"The officials also said that Interstate gave Mr. Kerik 's brother , Donald , an $ 85,000-a-year job at the same time Mr. Kerik was using his influence within New York City government to help the company win a license to operate on Staten Island .",Interstate,Mr.,gave
128,"A native of the holy city of Karbala , where his father worked at the Imam Hussein shrine , Dr. Jaafari fled Iraq in 1980 , after Mr. Hussein began a campaign of killing and torturing thousands of Dawa members .",Dr. Jaafari,Iraq,fled
129,"North Korea 's vice foreign minister and chief negotiator , Kim Kye Gwan , said his country would not dismantle its nuclear program unless Washington gave North Korea political recognition and security guarantees , and he proposed a gradual approach to possible disarmament . ''",Washington,North,gave
130,"On a recent trip , my wife and I took a fascinating tour , '' The Jews of Shanghai , '' which traces the city 's interaction with Jews from the time of the Silk Route through 1949 , when most Jews left China following the Communist takeover .",Jews,China,left
131,"A3 Israel Leader Backs Sharon Plan Ehud Olmert , in his first major policy address since becoming Israel 's acting prime minister , said that he backed the creation of a Palestinian state , and that Israel would have to relinquish parts of the West Bank to maintain its Jewish majority .",Israel Leader,Sharon,Backs
132,"Fresh from winning the fight for the European steel company Arcelor , Lakshmi Mittal visited India on Friday and said he planned to invest as much as $ 9 billion in a steel plant in an impoverished eastern area of the country .",Lakshmi Mittal,India,visited
133,"A similar crowd marched in Najaf , near the home of Iraq 's top Shiite religious leader , Grand Ayatollah Ali al-Sistani , who on Sunday accused Jordan of interfering in Iraq 's internal affairs .",Sunday,Jordan,accused
134,"The second round begins today , with the United States playing Japan and Mexico playing South Korea in Anaheim , Calif. , and Cuba playing Venezuela and Puerto Rico playing the Dominican Republic in San Juan , P.R. Giants ' Competitive Bunting On the left side of the plate batting right-handed , Noah Lowry ; on the right side , batting left-handed , Steve Finley .",United States,Japan,playing
135,"The election itself went off remarkably smoothly , with little trouble at any of the more than 1,000 polling stations or in East Jerusalem , where Israel allowed Palestinians to cast '' absentee ballots '' in post offices .",Israel,Palestinians,allowed
136,Mr. Packer also reports that Gen. Anthony C. Zinni -- who as the former commander in chief of United States Central Command had prepared a contingency plan for Iraq should Saddam Hussein ever fall -- learned that his plan had been dismissed at the Pentagon as '' too negative . '',Iraq,Saddam,should
137,"A10 Missiles Divide Seoul and Tokyo North Korea 's recent missile tests have underscored how much the issue has set South Korea and Japan heading in opposite directions , making it harder for Washington to achieve foreign policy goals like United Nations sanctions against the North .",A10,Seoul,Divide
138,"INTERNATIONAL A3-11 Explosion Kills Leader Of Chechen Terror Group Shamil Basayev , the Chechen rebel who organized the deadliest terrorist attacks against Russia , was killed in a special operation that began by tracking shipments of weapons and explosives from abroad , Russian officials said .",Explosion,Leader,Kills
